frame;time;kinetic;gravitational;elastic;total
1;0.033333;0.052346;-0.125061;0.463423;0.390708
2;0.066667;0.202511;-0.331815;3.524506;3.395203
3;0.100000;0.429810;-0.631017;12.464460;12.263250
4;0.133333;0.695034;-1.007630;31.700930;31.388330
5;0.166667;0.941454;-1.439866;66.758020;66.259610
6;0.200000;1.106957;-1.901197;122.368900;121.574700
7;0.233333;1.158293;-2.366625;197.897900;196.689600
8;0.266667;1.110165;-2.817041;287.808000;286.101200
9;0.300000;1.010032;-3.241883;386.305700;384.073800
10;0.333333;0.920151;-3.643863;493.200900;490.477100
11;0.366667;0.857353;-4.023824;611.080700;607.914200
12;0.400000;0.812931;-4.382503;740.402100;736.832500
13;0.433333;0.837573;-4.728313;878.969100;875.078300
14;0.466667;0.960706;-5.080105;1025.363000;1021.243000
15;0.500000;1.159079;-5.461959;1181.047000;1176.744000
16;0.533333;1.433785;-5.893291;1348.183000;1343.724000
17;0.566667;1.834188;-6.386173;1529.248000;1524.696000
18;0.600000;2.328222;-6.936242;1726.663000;1722.055000
19;0.633333;2.781150;-7.529327;1941.299000;1936.550000
20;0.666667;3.167726;-8.145361;2169.026000;2164.048000
21;0.700000;3.471591;-8.763498;2401.097000;2395.805000
22;0.733334;3.618652;-9.362823;2629.219000;2623.475000
23;0.766667;3.731778;-9.930079;2843.940000;2837.742000
24;0.800000;3.747582;-10.455650;3040.014000;3033.306000
25;0.833334;3.651356;-10.930340;3214.657000;3207.378000
26;0.866667;3.520490;-11.345410;3361.367000;3353.542000
27;0.900000;3.253393;-11.690910;3472.688000;3464.250000
28;0.933334;2.994813;-11.973310;3545.328000;3536.349000
29;0.966667;2.673488;-12.182920;3570.607000;3561.097000
30;1.000000;2.494062;-12.325540;3546.099000;3536.267000
31;1.033334;2.440302;-12.402430;3455.620000;3445.658000
32;1.066667;2.494665;-12.424510;3309.685000;3299.755000
33;1.100000;2.587433;-12.401390;3127.153000;3117.339000
34;1.133334;2.686700;-12.339950;2920.716000;2911.063000
35;1.166667;2.801176;-12.242030;2690.479000;2681.038000
36;1.200000;2.947981;-12.107480;2440.114000;2430.954000
37;1.233333;3.124556;-11.940050;2175.657000;2166.842000
38;1.266667;3.369903;-11.743130;1903.458000;1895.084000
39;1.300000;3.610581;-11.522560;1636.432000;1628.520000
40;1.333333;3.827470;-11.288680;1387.103000;1379.641000
41;1.366667;4.113609;-11.037020;1153.864000;1146.940000
42;1.400000;4.331092;-10.762520;942.287000;935.855700
43;1.433333;4.340243;-10.461140;750.008900;743.887900
44;1.466667;4.218946;-10.127840;588.377500;582.468600
45;1.500000;4.010985;-9.763697;449.938800;444.186100
46;1.533333;3.806219;-9.384687;334.109500;328.531100
47;1.566666;3.602111;-8.997658;240.234900;234.839400
48;1.600000;3.499212;-8.603031;167.829300;162.725500
49;1.633333;3.435739;-8.206402;118.849300;114.078600
50;1.666666;3.315814;-7.807277;90.965610;86.474140
51;1.700000;3.274307;-7.406845;83.888530;79.755990
52;1.733333;3.188084;-7.016217;94.088010;90.259870
53;1.766666;3.079900;-6.645539;112.147200;108.581600
54;1.800000;2.861175;-6.299097;130.125300;126.687400
55;1.833333;2.447250;-5.981009;137.930100;134.396400
56;1.866666;2.082155;-5.699181;130.379300;126.762300
57;1.899999;1.874939;-5.455124;108.421200;104.841000
58;1.933333;1.823740;-5.249057;85.104160;81.678850
59;1.966666;1.776265;-5.085276;68.788520;65.479510
60;1.999999;1.761714;-4.959607;61.010220;57.812330
61;2.033333;1.762334;-4.874112;60.248420;57.136640
62;2.066666;1.758640;-4.827651;63.926980;60.857970
63;2.099999;1.745389;-4.821224;66.557600;63.481770
64;2.133333;1.810430;-4.856453;67.331870;64.285850
65;2.166666;1.843193;-4.920153;66.187470;63.110510
66;2.199999;1.812872;-5.004875;65.602370;62.410370
67;2.233333;1.878270;-5.110629;64.687650;61.455290
68;2.266666;1.827514;-5.231418;68.826540;65.422630
69;2.299999;1.805300;-5.365702;84.879220;81.318820
70;2.333333;1.802272;-5.513426;104.919400;101.208200
71;2.366666;1.860567;-5.680497;124.459300;120.639300
72;2.399999;1.921869;-5.870596;145.970300;142.021600
73;2.433332;2.006691;-6.085671;170.322000;166.243000
74;2.466666;2.117074;-6.324366;196.708000;192.500700
75;2.499999;2.199569;-6.587188;225.953500;221.565900
76;2.533332;2.252903;-6.868926;259.433900;254.817900
77;2.566666;2.370112;-7.168927;291.006500;286.207700
78;2.599999;2.427207;-7.480897;326.864500;321.810800
79;2.633332;2.593202;-7.804041;360.800100;355.589200
80;2.666666;2.707751;-8.131568;396.227000;390.803200
81;2.699999;2.809105;-8.462482;426.558100;420.904700
82;2.733332;2.902894;-8.800745;462.583600;456.685700
83;2.766665;3.055155;-9.149627;502.283800;496.189300
84;2.799999;3.180108;-9.516031;552.079000;545.743000
85;2.833332;3.255168;-9.899348;619.371000;612.726900
86;2.866665;3.451133;-10.297270;695.924600;689.078400
87;2.899999;3.662556;-10.709150;776.759200;769.712600
88;2.933332;3.827409;-11.133780;857.024500;849.718100
89;2.966665;4.017806;-11.570230;946.909000;939.356600
90;2.999999;4.287877;-12.019950;1051.813000;1044.081000
91;3.033332;4.378513;-12.480700;1181.870000;1173.768000
92;3.066665;4.427220;-12.943760;1324.356000;1315.839000
93;3.099998;4.645955;-13.401690;1482.420000;1473.664000
94;3.133332;4.423388;-13.846000;1672.133000;1662.711000
95;3.166665;4.437245;-14.274090;1882.081000;1872.244000
96;3.199998;4.325134;-14.670880;2100.063000;2089.717000
97;3.233332;4.192444;-15.035000;2305.367000;2294.525000
98;3.266665;3.975532;-15.371350;2497.919000;2486.523000
99;3.299998;3.860575;-15.674500;2683.893000;2672.079000
100;3.333332;3.897418;-15.940790;2863.503000;2851.460000
101;3.366665;3.992108;-16.168570;3035.554000;3023.377000
102;3.399998;4.075984;-16.352930;3200.292000;3188.015000
103;3.433331;4.063351;-16.484880;3355.050000;3342.629000
104;3.466665;3.864121;-16.564420;3494.327000;3481.627000
105;3.499998;3.410375;-16.595770;3618.867000;3605.682000
106;3.533331;2.800454;-16.586730;3722.908000;3709.121000
107;3.566665;2.262239;-16.540730;3799.651000;3785.372000
108;3.599998;1.834313;-16.459820;3843.426000;3828.801000
109;3.633331;1.532502;-16.342160;3846.883000;3832.074000
110;3.666665;1.260799;-16.186960;3803.124000;3788.197000
111;3.699998;1.011059;-15.993760;3710.639000;3695.656000
112;3.733331;0.911538;-15.766230;3579.073000;3564.219000
